STUDENT_ID,DEGREE_EARNED
@00018050,Certificate of Achievement
@00042620,Associate in Arts
@00054472,Associate in Arts
@00055807,Associate in Arts
@00056356,Associate in Arts
@00057024,Associate in Sci. for Transfer
@00080509,Associate in Science
@00110173,Associate in Arts
@00114011,Associate in Arts
@00116927,Associate in Science
@00120894,Associate in Arts
@00136592,Associate in Arts
@00145140,Associate in Arts
@00151504,Associate in Arts
@00156226,Associate in Arts
@00159955,Certificate of Achievement
@00173011,Associate in Science
@00178625,Associate in Arts
@00193426,Associate in Science
@00196972,Associate in Science
@00197170,Certificate of Achievement
@00204013,Associate in Science
@00215829,Associate in Science
@00215893,Associate in Science
@00216496,Associate in Arts
@00218186,Associate in Science
@00222056,Associate in Science
@00223279,Associate in Science
@00223910,Associate in Arts and Science
@00229892,Certificate of Accomplishment
@00232708,Associate in Science
@00232717,Associate in Science
@00236107,Associate in Arts and Science
@00236638,Associate in Science
@00237896,Associate in Arts and Science
@00238970,Associate in Sci. for Transfer
@00238976,Certificate of Achievement
@00253892,Associate in Arts for Transfer
@00257937,Associate in Arts
@00261181,Associate in Science
@00264759,Certificate of Achievement
@00270179,Certificate of Accomplishment
C80681176,Associate in Science
D01084946,Associate in Arts
W00003866,Associate in Arts
W00004159,Associate in Arts
W00011662,Associate in Arts
W00013236,Certificate of Completion
W00017571,Associate in Arts
W00028846,Associate in Arts
W00030371,Associate in Arts
W00049798,Associate in Science
W00051008,Associate in Science
W00054462,Associate in Arts
W00064789,Associate in Arts
W00066988,Certificate of Accomplishment
W00067911,Associate in Arts
W00069887,Certificate of Achievement
W00075912,Certificate of Completion
W00078623,Associate in Arts
W00086040,Associate in Arts
W00087488,Certificate of Achievement
W00099019,Associate in Science
W00099246,Associate in Science
W00114088,Associate in Arts
W00125771,Associate in Arts
W00126648,Certificate of Completion
W00127177,Certificate of Achievement
W00128862,Associate in Arts
W00129605,Associate in Science
W00129677,Associate in Arts
W00142018,Associate in Science
W00146630,Associate in Science
W00149088,Associate in Arts
W00149671,Associate in Science
W00150367,Certificate of Completion
W00158937,Associate in Arts
W00159049,Associate in Arts
W00160053,Certificate of Accomplishment
W00172192,Associate in Arts
W00172216,Associate in Arts
W00183332,Certificate of Completion
W00191413,Associate in Arts
W00199893,Associate in Science
W00212941,Associate in Arts
W00216084,Associate in Arts
W00221780,Associate in Arts
W00222972,Associate in Arts and Science
W00226280,Associate in Science
W00226770,Associate in Arts
W00242879,Certificate of Completion
W00248719,Associate in Arts
W00252291,Associate in Arts
W00258485,Associate in Science
W00264898,Associate in Arts
W00293683,Associate in Science
W00303973,Associate in Science
W00343686,Associate in Science
W00393857,Associate in Science
W00508565,Associate in Arts
W00618637,Associate in Arts
W00623846,Associate in Science
W00635427,Associate in Science
W00637760,Certificate of Accomplishment
W00638624,Certificate of Accomplishment
W00643689,Associate in Arts and Science
W00650849,Certificate of Achievement
W00654010,Associate in Arts and Science
W00660183,Associate in Science
W00660614,Associate in Science
W00687144,Associate in Arts
W10003299,Certificate of Achievement
W10286411,Associate in Arts and Science
W10297722,Associate in Science
W10311135,Associate in Science
W10313135,Associate in Science
W10336246,Certificate of Achievement
W10340451,Associate in Arts
W10341300,Associate in Science
W10341450,Associate in Sci. for Transfer
W10341704,Associate in Science
W10342548,Associate in Arts
W10342807,Certificate of Achievement
W10343394,Associate in Science
W10344252,Associate in Arts for Transfer
W10344317,Associate in Science
W10346142,Certificate of Achievement
W10349278,Associate in Science
W10352148,Associate in Science
W10364959,Associate in Science
W10375881,Associate in Science
W10384312,Certificate of Accomplishment
W10385694,Associate in Science
W10396306,Associate in Science
W10397173,Associate in Science
W10398769,Associate in Arts and Science
W10400084,Associate in Arts
W10400267,Associate in Science
W10401068,Certificate of Achievement
W10403043,Associate in Arts
W10404109,Associate in Arts for Transfer
W10405893,Certificate of Accomplishment
W10406535,Associate in Arts
W10408660,Associate in Science
W10410272,Associate in Arts for Transfer
W10424297,Associate in Science
W10442509,Associate in Arts
W77030160,Associate in Science
W77041145,Associate in Science
W77053565,Associate in Science
W99033644,Associate in Science
W99062993,Associate in Science
W99139544,Associate in Science
W99147891,Associate in Science
W99157633,Associate in Science
W99176332,Associate in Arts
W99241919,Associate in Arts
W99259430,Associate in Sci. for Transfer
W99259861,Certificate of Achievement
W99260878,Associate in Science
W99262587,Associate in Science
W99267906,Associate in Science
W99267974,Associate in Science
W99281459,Associate in Science
W99283581,Associate in Arts for Transfer
W99288894,Associate in Science
